Month,Fish_Weight,Survival_Rate,Age_Months,Temperature,Dissolved_Oxygen,pH,Salinity (ppt)
January,275.82,95.27,2.0,27.47,6.34,7.98,1.37
January,275.82,95.27,2.0,27.47,6.34,7.98,3.35
January,275.82,95.27,2.0,27.47,6.34,7.98,1.63
January,275.82,95.27,2.0,27.47,6.34,7.98,2.65
January,275.82,95.27,2.0,27.47,6.34,7.98,2.78
January,275.82,95.27,2.0,27.47,6.34,7.98,1.01
January,275.82,95.27,2.0,27.47,6.34,7.98,4.85
January,275.82,95.27,2.0,27.47,6.34,7.98,3.9
January,275.82,95.27,2.0,27.47,6.34,7.98,4.7
January,275.82,95.27,2.0,27.47,6.34,7.98,4.48
January,275.82,95.27,2.0,27.47,6.34,7.98,3.03
January,275.82,95.27,2.0,27.47,6.34,7.98,4.62
January,275.82,95.27,2.0,27.47,6.34,7.98,0.53
January,275.82,95.27,2.0,27.47,6.34,7.98,1.06
January,275.82,95.27,2.0,27.47,6.34,7.98,0.32
January,275.82,95.27,2.0,27.47,6.34,7.98,1.69
January,275.82,95.27,2.0,27.47,6.34,7.98,2.0
January,275.82,95.27,2.0,27.47,6.34,7.98,1.43
January,275.82,95.27,2.0,27.47,6.34,7.98,4.16
January,275.82,95.27,2.0,27.47,6.34,7.98,1.85
January,275.82,95.27,2.0,27.47,6.34,7.98,1.48
January,275.82,95.27,2.0,27.47,6.34,7.98,2.76
January,275.82,95.27,2.0,27.47,6.34,7.98,0.79
January,275.82,95.27,2.0,27.47,6.34,7.98,4.03
January,275.82,95.27,2.0,27.47,6.34,7.98,0.47
January,275.82,95.27,2.0,27.47,6.34,7.98,4.94
January,275.82,95.27,2.0,27.47,6.34,7.98,3.88
January,275.82,95.27,2.0,27.47,6.34,7.98,1.07
January,275.82,95.27,2.0,27.47,6.34,7.98,0.13
January,275.82,95.27,2.0,27.47,6.34,7.98,4.1
January,275.82,95.27,2.0,27.47,6.34,7.98,3.56
January,275.82,95.27,2.0,27.47,6.34,7.98,3.67
January,275.82,95.27,2.0,27.47,6.34,7.98,3.88
January,275.82,95.27,2.0,27.47,6.34,7.98,0.46
January,275.82,95.27,2.0,27.47,6.34,7.98,1.86
January,275.82,95.27,2.0,27.47,6.34,7.98,0.67
January,275.82,95.27,2.0,27.47,6.34,7.98,4.33
January,275.82,95.27,2.0,27.47,6.34,7.98,3.15
January,275.82,95.27,2.0,27.47,6.34,7.98,1.72
January,275.82,95.27,2.0,27.47,6.34,7.98,0.41
January,275.82,95.27,2.0,27.47,6.34,7.98,1.62
January,275.82,95.27,2.0,27.47,6.34,7.98,1.69
January,275.82,95.27,2.0,27.47,6.34,7.98,3.68
January,275.82,95.27,2.0,27.47,6.34,7.98,3.22
January,275.82,95.27,2.0,27.47,6.34,7.98,4.45
January,275.82,95.27,2.0,27.47,6.34,7.98,2.41
January,275.82,95.27,2.0,27.47,6.34,7.98,0.69
January,275.82,95.27,2.0,27.47,6.34,7.98,3.59
January,275.82,95.27,2.0,27.47,6.34,7.98,3.83
January,275.82,95.27,2.0,27.47,6.34,7.98,2.85
January,275.82,95.27,2.0,27.47,6.34,7.98,3.88
January,275.82,95.27,2.0,27.47,6.34,7.98,2.52
January,275.82,95.27,2.0,27.47,6.34,7.98,2.66
January,275.82,95.27,2.0,27.47,6.34,7.98,2.19
January,275.82,95.27,2.0,27.47,6.34,7.98,0.22
January,275.82,95.27,2.0,27.47,6.34,7.98,0.63
January,275.82,95.27,2.0,27.47,6.34,7.98,0.25
January,275.82,95.27,2.0,27.47,6.34,7.98,3.22
January,275.82,95.27,2.0,27.47,6.34,7.98,1.64
January,275.82,95.27,2.0,27.47,6.34,7.98,2.59
January,275.82,95.27,2.0,27.47,6.34,7.98,4.55
January,275.82,95.27,2.0,27.47,6.34,7.98,1.32
January,275.82,95.27,2.0,27.47,6.34,7.98,2.11
January,275.82,95.27,2.0,27.47,6.34,7.98,3.8
January,275.82,95.27,2.0,27.47,6.34,7.98,1.22
January,275.82,95.27,2.0,27.47,6.34,7.98,0.48
January,275.82,95.27,2.0,27.47,6.34,7.98,1.52
January,275.82,95.27,2.0,27.47,6.34,7.98,0.89
January,275.82,95.27,2.0,27.47,6.34,7.98,4.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.06
January,275.82,95.27,2.0,27.47,6.34,7.98,3.2
January,275.82,95.27,2.0,27.47,6.34,7.98,4.37
January,275.82,95.27,2.0,27.47,6.34,7.98,4.04
January,275.82,95.27,2.0,27.47,6.34,7.98,1.01
January,275.82,95.27,2.0,27.47,6.34,7.98,4.47
January,275.82,95.27,2.0,27.47,6.34,7.98,2.74
January,275.82,95.27,2.0,27.47,6.34,7.98,4.06
January,275.82,95.27,2.0,27.47,6.34,7.98,4.49
January,275.82,95.27,2.0,27.47,6.34,7.98,1.66
January,275.82,95.27,2.0,27.47,6.34,7.98,0.64
January,275.82,95.27,2.0,27.47,6.34,7.98,1.22
January,275.82,95.27,2.0,27.47,6.34,7.98,2.19
January,275.82,95.27,2.0,27.47,6.34,7.98,4.11
January,275.82,95.27,2.0,27.47,6.34,7.98,4.32
January,275.82,95.27,2.0,27.47,6.34,7.98,0.13
January,275.82,95.27,2.0,27.47,6.34,7.98,2.6
January,275.82,95.27,2.0,27.47,6.34,7.98,2.15
January,275.82,95.27,2.0,27.47,6.34,7.98,1.19
January,275.82,95.27,2.0,27.47,6.34,7.98,0.69
January,275.82,95.27,2.0,27.47,6.34,7.98,1.75
January,275.82,95.27,2.0,27.47,6.34,7.98,4.72
January,275.82,95.27,2.0,27.47,6.34,7.98,1.68
January,275.82,95.27,2.0,27.47,6.34,7.98,2.64
January,275.82,95.27,2.0,27.47,6.34,7.98,3.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.88
January,275.82,95.27,2.0,27.47,6.34,7.98,4.86
January,275.82,95.27,2.0,27.47,6.34,7.98,4.82
January,275.82,95.27,2.0,27.47,6.34,7.98,1.33
January,275.82,95.27,2.0,27.47,6.34,7.98,2.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.57
January,275.82,95.27,2.0,27.47,6.34,7.98,1.5
January,275.82,95.27,2.0,27.47,6.34,7.98,0.28
January,275.82,95.27,2.0,27.47,6.34,7.98,3.09
January,275.82,95.27,2.0,27.47,6.34,7.98,2.56
January,275.82,95.27,2.0,27.47,6.34,7.98,0.35
January,275.82,95.27,2.0,27.47,6.34,7.98,1.47
January,275.82,95.27,2.0,27.47,6.34,7.98,4.55
January,275.82,95.27,2.0,27.47,6.34,7.98,1.27
January,275.82,95.27,2.0,27.47,6.34,7.98,0.81
January,275.82,95.27,2.0,27.47,6.34,7.98,2.5
January,275.82,95.27,2.0,27.47,6.34,7.98,4.93
January,275.82,95.27,2.0,27.47,6.34,7.98,1.29
January,275.82,95.27,2.0,27.47,6.34,7.98,3.39
January,275.82,95.27,2.0,27.47,6.34,7.98,3.83
January,275.82,95.27,2.0,27.47,6.34,7.98,1.26
January,275.82,95.27,2.0,27.47,6.34,7.98,3.67
January,275.82,95.27,2.0,27.47,6.34,7.98,1.9
January,275.82,95.27,2.0,27.47,6.34,7.98,3.2
January,275.82,95.27,2.0,27.47,6.34,7.98,3.2
January,275.82,95.27,2.0,27.47,6.34,7.98,2.73
January,275.82,95.27,2.0,27.47,6.34,7.98,0.54
January,275.82,95.27,2.0,27.47,6.34,7.98,4.19
January,275.82,95.27,2.0,27.47,6.34,7.98,1.67
January,275.82,95.27,2.0,27.47,6.34,7.98,1.01
January,275.82,95.27,2.0,27.47,6.34,7.98,0.3
January,275.82,95.27,2.0,27.47,6.34,7.98,3.0
January,275.82,95.27,2.0,27.47,6.34,7.98,3.42
January,275.82,95.27,2.0,27.47,6.34,7.98,0.18
January,275.82,95.27,2.0,27.47,6.34,7.98,2.61
January,275.82,95.27,2.0,27.47,6.34,7.98,1.21
January,275.82,95.27,2.0,27.47,6.34,7.98,3.26
January,275.82,95.27,2.0,27.47,6.34,7.98,0.95
January,275.82,95.27,2.0,27.47,6.34,7.98,3.49
January,275.82,95.27,2.0,27.47,6.34,7.98,2.0
January,275.82,95.27,2.0,27.47,6.34,7.98,4.69
January,275.82,95.27,2.0,27.47,6.34,7.98,0.77
January,275.82,95.27,2.0,27.47,6.34,7.98,1.77
January,275.82,95.27,2.0,27.47,6.34,7.98,0.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.63
January,275.82,95.27,2.0,27.47,6.34,7.98,4.4
January,275.82,95.27,2.0,27.47,6.34,7.98,1.36
January,275.82,95.27,2.0,27.47,6.34,7.98,3.33
January,275.82,95.27,2.0,27.47,6.34,7.98,4.1
January,275.82,95.27,2.0,27.47,6.34,7.98,2.82
January,275.82,95.27,2.0,27.47,6.34,7.98,2.7
January,275.82,95.27,2.0,27.47,6.34,7.98,1.29
January,275.82,95.27,2.0,27.47,6.34,7.98,0.56
January,275.82,95.27,2.0,27.47,6.34,7.98,4.5
January,275.82,95.27,2.0,27.47,6.34,7.98,4.51
January,275.82,95.27,2.0,27.47,6.34,7.98,3.2
January,275.82,95.27,2.0,27.47,6.34,7.98,1.76
January,275.82,95.27,2.0,27.47,6.34,7.98,1.81
January,275.82,95.27,2.0,27.47,6.34,7.98,3.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.5
January,275.82,95.27,2.0,27.47,6.34,7.98,4.45
January,275.82,95.27,2.0,27.47,6.34,7.98,3.92
January,275.82,95.27,2.0,27.47,6.34,7.98,3.25
January,275.82,95.27,2.0,27.47,6.34,7.98,0.51
January,275.82,95.27,2.0,27.47,6.34,7.98,0.89
January,275.82,95.27,2.0,27.47,6.34,7.98,4.5
January,275.82,95.27,2.0,27.47,6.34,7.98,3.07
January,275.82,95.27,2.0,27.47,6.34,7.98,0.15
January,275.82,95.27,2.0,27.47,6.34,7.98,0.6
January,275.82,95.27,2.0,27.47,6.34,7.98,3.35
January,275.82,95.27,2.0,27.47,6.34,7.98,0.12
January,275.82,95.27,2.0,27.47,6.34,7.98,0.89
January,275.82,95.27,2.0,27.47,6.34,7.98,2.79
January,275.82,95.27,2.0,27.47,6.34,7.98,3.49
January,275.82,95.27,2.0,27.47,6.34,7.98,3.29
January,275.82,95.27,2.0,27.47,6.34,7.98,1.2
January,275.82,95.27,2.0,27.47,6.34,7.98,3.59
January,275.82,95.27,2.0,27.47,6.34,7.98,1.26
January,275.82,95.27,2.0,27.47,6.34,7.98,1.69
January,275.82,95.27,2.0,27.47,6.34,7.98,3.76
January,275.82,95.27,2.0,27.47,6.34,7.98,3.28
January,275.82,95.27,2.0,27.47,6.34,7.98,4.26
January,275.82,95.27,2.0,27.47,6.34,7.98,3.32
January,275.82,95.27,2.0,27.47,6.34,7.98,2.88
January,275.82,95.27,2.0,27.47,6.34,7.98,0.56
January,275.82,95.27,2.0,27.47,6.34,7.98,1.9
January,275.82,95.27,2.0,27.47,6.34,7.98,1.4
January,275.82,95.27,2.0,27.47,6.34,7.98,1.3
January,275.82,95.27,2.0,27.47,6.34,7.98,4.87
January,275.82,95.27,2.0,27.47,6.34,7.98,2.03
January,275.82,95.27,2.0,27.47,6.34,7.98,4.47
January,275.82,95.27,2.0,27.47,6.34,7.98,3.19
January,275.82,95.27,2.0,27.47,6.34,7.98,3.99
January,275.82,95.27,2.0,27.47,6.34,7.98,2.56
January,275.82,95.27,2.0,27.47,6.34,7.98,2.93
January,275.82,95.27,2.0,27.47,6.34,7.98,2.51
January,275.82,95.27,2.0,27.47,6.34,7.98,1.06
January,275.82,95.27,2.0,27.47,6.34,7.98,3.64
January,275.82,95.27,2.0,27.47,6.34,7.98,1.48
January,275.82,95.27,2.0,27.47,6.34,7.98,0.22
January,275.82,95.27,2.0,27.47,6.34,7.98,3.26
January,275.82,95.27,2.0,27.47,6.34,7.98,0.97
January,275.82,95.27,2.0,27.47,6.34,7.98,4.71
January,275.82,95.27,2.0,27.47,6.34,7.98,4.77
January,275.82,95.27,2.0,27.47,6.34,7.98,4.58
January,275.82,95.27,2.0,27.47,6.34,7.98,1.91
January,275.82,95.27,2.0,27.47,6.34,7.98,0.18
January,275.82,95.27,2.0,27.47,6.34,7.98,4.65
January,275.82,95.27,2.0,27.47,6.34,7.98,2.2
January,275.82,95.27,2.0,27.47,6.34,7.98,4.84
January,275.82,95.27,2.0,27.47,6.34,7.98,4.82
January,275.82,95.27,2.0,27.47,6.34,7.98,4.28
January,275.82,95.27,2.0,27.47,6.34,7.98,1.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.99
January,275.82,95.27,2.0,27.47,6.34,7.98,4.27
January,275.82,95.27,2.0,27.47,6.34,7.98,1.65
January,275.82,95.27,2.0,27.47,6.34,7.98,0.93
January,275.82,95.27,2.0,27.47,6.34,7.98,2.83
January,275.82,95.27,2.0,27.47,6.34,7.98,4.69
January,275.82,95.27,2.0,27.47,6.34,7.98,3.51
January,275.82,95.27,2.0,27.47,6.34,7.98,2.89
January,275.82,95.27,2.0,27.47,6.34,7.98,0.58
January,275.82,95.27,2.0,27.47,6.34,7.98,3.11
January,275.82,95.27,2.0,27.47,6.34,7.98,4.95
January,275.82,95.27,2.0,27.47,6.34,7.98,0.79
January,275.82,95.27,2.0,27.47,6.34,7.98,2.64
January,275.82,95.27,2.0,27.47,6.34,7.98,4.4
January,275.82,95.27,2.0,27.47,6.34,7.98,3.73
January,275.82,95.27,2.0,27.47,6.34,7.98,3.52
January,275.82,95.27,2.0,27.47,6.34,7.98,3.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.86
January,275.82,95.27,2.0,27.47,6.34,7.98,1.54
January,275.82,95.27,2.0,27.47,6.34,7.98,4.07
January,275.82,95.27,2.0,27.47,6.34,7.98,4.07
January,275.82,95.27,2.0,27.47,6.34,7.98,4.35
January,275.82,95.27,2.0,27.47,6.34,7.98,4.57
January,275.82,95.27,2.0,27.47,6.34,7.98,2.61
January,275.82,95.27,2.0,27.47,6.34,7.98,2.56
January,275.82,95.27,2.0,27.47,6.34,7.98,4.01
January,275.82,95.27,2.0,27.47,6.34,7.98,3.28
January,275.82,95.27,2.0,27.47,6.34,7.98,3.54
January,275.82,95.27,2.0,27.47,6.34,7.98,4.0
January,275.82,95.27,2.0,27.47,6.34,7.98,4.46
January,275.82,95.27,2.0,27.47,6.34,7.98,1.76
January,275.82,95.27,2.0,27.47,6.34,7.98,1.94
January,275.82,95.27,2.0,27.47,6.34,7.98,0.56
January,275.82,95.27,2.0,27.47,6.34,7.98,2.93
January,275.82,95.27,2.0,27.47,6.34,7.98,0.28
January,275.82,95.27,2.0,27.47,6.34,7.98,2.38
January,275.82,95.27,2.0,27.47,6.34,7.98,2.76
January,275.82,95.27,2.0,27.47,6.34,7.98,1.5
January,275.82,95.27,2.0,27.47,6.34,7.98,3.0
January,275.82,95.27,2.0,27.47,6.34,7.98,0.25
January,275.82,95.27,2.0,27.47,6.34,7.98,0.28
January,275.82,95.27,2.0,27.47,6.34,7.98,4.13
January,275.82,95.27,2.0,27.47,6.34,7.98,1.86
January,275.82,95.27,2.0,27.47,6.34,7.98,0.72
January,275.82,95.27,2.0,27.47,6.34,7.98,2.66
January,275.82,95.27,2.0,27.47,6.34,7.98,3.87
January,275.82,95.27,2.0,27.47,6.34,7.98,1.16
January,275.82,95.27,2.0,27.47,6.34,7.98,3.15
January,275.82,95.27,2.0,27.47,6.34,7.98,0.52
January,275.82,95.27,2.0,27.47,6.34,7.98,0.35
January,275.82,95.27,2.0,27.47,6.34,7.98,2.7
January,275.82,95.27,2.0,27.47,6.34,7.98,2.75
January,275.82,95.27,2.0,27.47,6.34,7.98,3.22
January,275.82,95.27,2.0,27.47,6.34,7.98,3.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.88
January,275.82,95.27,2.0,27.47,6.34,7.98,2.63
January,275.82,95.27,2.0,27.47,6.34,7.98,1.68
January,275.82,95.27,2.0,27.47,6.34,7.98,4.0
January,275.82,95.27,2.0,27.47,6.34,7.98,1.43
January,275.82,95.27,2.0,27.47,6.34,7.98,2.25
January,275.82,95.27,2.0,27.47,6.34,7.98,0.48
January,275.82,95.27,2.0,27.47,6.34,7.98,0.22
January,275.82,95.27,2.0,27.47,6.34,7.98,4.82
January,275.82,95.27,2.0,27.47,6.34,7.98,4.2
January,275.82,95.27,2.0,27.47,6.34,7.98,3.51
January,275.82,95.27,2.0,27.47,6.34,7.98,2.1
January,275.82,95.27,2.0,27.47,6.34,7.98,0.95
January,275.82,95.27,2.0,27.47,6.34,7.98,0.87
January,275.82,95.27,2.0,27.47,6.34,7.98,1.33
January,275.82,95.27,2.0,27.47,6.34,7.98,2.79
January,275.82,95.27,2.0,27.47,6.34,7.98,3.6
January,275.82,95.27,2.0,27.47,6.34,7.98,3.33
January,275.82,95.27,2.0,27.47,6.34,7.98,1.47
January,275.82,95.27,2.0,27.47,6.34,7.98,4.78
January,275.82,95.27,2.0,27.47,6.34,7.98,3.72
January,275.82,95.27,2.0,27.47,6.34,7.98,2.82
January,275.82,95.27,2.0,27.47,6.34,7.98,3.1
January,275.82,95.27,2.0,27.47,6.34,7.98,2.16
January,275.82,95.27,2.0,27.47,6.34,7.98,1.31
January,275.82,95.27,2.0,27.47,6.34,7.98,1.84
January,275.82,95.27,2.0,27.47,6.34,7.98,3.81
January,275.82,95.27,2.0,27.47,6.34,7.98,0.17
January,275.82,95.27,2.0,27.47,6.34,7.98,0.67
January,275.82,95.27,2.0,27.47,6.34,7.98,0.33
January,275.82,95.27,2.0,27.47,6.34,7.98,0.3
January,275.82,95.27,2.0,27.47,6.34,7.98,4.29
January,275.82,95.27,2.0,27.47,6.34,7.98,3.55
January,275.82,95.27,2.0,27.47,6.34,7.98,2.42
January,275.82,95.27,2.0,27.47,6.34,7.98,0.58
January,275.82,95.27,2.0,27.47,6.34,7.98,2.51
January,275.82,95.27,2.0,27.47,6.34,7.98,2.42
January,275.82,95.27,2.0,27.47,6.34,7.98,0.95
January,275.82,95.27,2.0,27.47,6.34,7.98,2.23
January,275.82,95.27,2.0,27.47,6.34,7.98,2.05
January,275.82,95.27,2.0,27.47,6.34,7.98,3.12
January,275.82,95.27,2.0,27.47,6.34,7.98,3.21
January,275.82,95.27,2.0,27.47,6.34,7.98,0.32
January,275.82,95.27,2.0,27.47,6.34,7.98,1.94
January,275.82,95.27,2.0,27.47,6.34,7.98,3.17
January,275.82,95.27,2.0,27.47,6.34,7.98,2.57
January,275.82,95.27,2.0,27.47,6.34,7.98,4.3
January,275.82,95.27,2.0,27.47,6.34,7.98,3.33
January,275.82,95.27,2.0,27.47,6.34,7.98,0.9
January,275.82,95.27,2.0,27.47,6.34,7.98,0.45
January,275.82,95.27,2.0,27.47,6.34,7.98,3.25
January,275.82,95.27,2.0,27.47,6.34,7.98,0.23
January,275.82,95.27,2.0,27.47,6.34,7.98,2.97
January,275.82,95.27,2.0,27.47,6.34,7.98,4.71
January,275.82,95.27,2.0,27.47,6.34,7.98,2.92
January,275.82,95.27,2.0,27.47,6.34,7.98,2.0
January,275.82,95.27,2.0,27.47,6.34,7.98,3.25
January,275.82,95.27,2.0,27.47,6.34,7.98,2.35
January,275.82,95.27,2.0,27.47,6.34,7.98,2.77
January,275.82,95.27,2.0,27.47,6.34,7.98,4.71
January,275.82,95.27,2.0,27.47,6.34,7.98,1.99
January,275.82,95.27,2.0,27.47,6.34,7.98,4.81
January,275.82,95.27,2.0,27.47,6.34,7.98,4.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.06
January,275.82,95.27,2.0,27.47,6.34,7.98,0.44
January,275.82,95.27,2.0,27.47,6.34,7.98,0.59
January,275.82,95.27,2.0,27.47,6.34,7.98,0.19
January,275.82,95.27,2.0,27.47,6.34,7.98,0.56
January,275.82,95.27,2.0,27.47,6.34,7.98,3.45
January,275.82,95.27,2.0,27.47,6.34,7.98,0.45
January,275.82,95.27,2.0,27.47,6.34,7.98,1.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.24
January,275.82,95.27,2.0,27.47,6.34,7.98,0.21
January,275.82,95.27,2.0,27.47,6.34,7.98,4.09
January,275.82,95.27,2.0,27.47,6.34,7.98,1.48
January,275.82,95.27,2.0,27.47,6.34,7.98,0.68
January,275.82,95.27,2.0,27.47,6.34,7.98,3.51
January,275.82,95.27,2.0,27.47,6.34,7.98,3.18
January,275.82,95.27,2.0,27.47,6.34,7.98,4.4
January,275.82,95.27,2.0,27.47,6.34,7.98,3.7
January,275.82,95.27,2.0,27.47,6.34,7.98,4.04
January,275.82,95.27,2.0,27.47,6.34,7.98,1.48
January,275.82,95.27,2.0,27.47,6.34,7.98,0.97
January,275.82,95.27,2.0,27.47,6.34,7.98,3.78
January,275.82,95.27,2.0,27.47,6.34,7.98,4.05
January,275.82,95.27,2.0,27.47,6.34,7.98,4.95
January,275.82,95.27,2.0,27.47,6.34,7.98,2.12
January,275.82,95.27,2.0,27.47,6.34,7.98,1.92
January,275.82,95.27,2.0,27.47,6.34,7.98,3.9
January,275.82,95.27,2.0,27.47,6.34,7.98,1.77
January,275.82,95.27,2.0,27.47,6.34,7.98,4.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.31
January,275.82,95.27,2.0,27.47,6.34,7.98,2.2
January,275.82,95.27,2.0,27.47,6.34,7.98,3.78
January,275.82,95.27,2.0,27.47,6.34,7.98,3.8
January,275.82,95.27,2.0,27.47,6.34,7.98,0.61
January,275.82,95.27,2.0,27.47,6.34,7.98,4.52
January,275.82,95.27,2.0,27.47,6.34,7.98,2.58
January,275.82,95.27,2.0,27.47,6.34,7.98,4.15
January,275.82,95.27,2.0,27.47,6.34,7.98,1.67
January,275.82,95.27,2.0,27.47,6.34,7.98,4.49
January,275.82,95.27,2.0,27.47,6.34,7.98,2.01
January,275.82,95.27,2.0,27.47,6.34,7.98,0.15
January,275.82,95.27,2.0,27.47,6.34,7.98,4.54
January,275.82,95.27,2.0,27.47,6.34,7.98,0.55
January,275.82,95.27,2.0,27.47,6.34,7.98,1.66
January,275.82,95.27,2.0,27.47,6.34,7.98,4.76
January,275.82,95.27,2.0,27.47,6.34,7.98,4.76
January,275.82,95.27,2.0,27.47,6.34,7.98,2.91
January,275.82,95.27,2.0,27.47,6.34,7.98,3.2
January,275.82,95.27,2.0,27.47,6.34,7.98,2.3
January,275.82,95.27,2.0,27.47,6.34,7.98,1.54
January,275.82,95.27,2.0,27.47,6.34,7.98,1.71
January,275.82,95.27,2.0,27.47,6.34,7.98,3.4
January,275.82,95.27,2.0,27.47,6.34,7.98,3.79
January,275.82,95.27,2.0,27.47,6.34,7.98,3.98
January,275.82,95.27,2.0,27.47,6.34,7.98,3.97
January,275.82,95.27,2.0,27.47,6.34,7.98,0.55
January,275.82,95.27,2.0,27.47,6.34,7.98,2.52
January,275.82,95.27,2.0,27.47,6.34,7.98,0.38
January,275.82,95.27,2.0,27.47,6.34,7.98,2.79
January,275.82,95.27,2.0,27.47,6.34,7.98,2.26
January,275.82,95.27,2.0,27.47,6.34,7.98,4.45
January,275.82,95.27,2.0,27.47,6.34,7.98,1.82
January,275.82,95.27,2.0,27.47,6.34,7.98,0.67
January,275.82,95.27,2.0,27.47,6.34,7.98,0.8
January,275.82,95.27,2.0,27.47,6.34,7.98,3.83
January,275.82,95.27,2.0,27.47,6.34,7.98,3.13
January,275.82,95.27,2.0,27.47,6.34,7.98,0.6
January,275.82,95.27,2.0,27.47,6.34,7.98,0.51
January,275.82,95.27,2.0,27.47,6.34,7.98,3.53
January,275.82,95.27,2.0,27.47,6.34,7.98,0.46
January,275.82,95.27,2.0,27.47,6.34,7.98,4.13
January,275.82,95.27,2.0,27.47,6.34,7.98,3.56
January,275.82,95.27,2.0,27.47,6.34,7.98,0.5
January,275.82,95.27,2.0,27.47,6.34,7.98,0.52
January,275.82,95.27,2.0,27.47,6.34,7.98,4.93
January,275.82,95.27,2.0,27.47,6.34,7.98,1.93
January,275.82,95.27,2.0,27.47,6.34,7.98,1.92
January,275.82,95.27,2.0,27.47,6.34,7.98,4.08
January,275.82,95.27,2.0,27.47,6.34,7.98,4.74
January,275.82,95.27,2.0,27.47,6.34,7.98,4.93
January,275.82,95.27,2.0,27.47,6.34,7.98,3.79
January,275.82,95.27,2.0,27.47,6.34,7.98,1.94
January,275.82,95.27,2.0,27.47,6.34,7.98,0.51
January,275.82,95.27,2.0,27.47,6.34,7.98,3.91
January,275.82,95.27,2.0,27.47,6.34,7.98,2.84
January,275.82,95.27,2.0,27.47,6.34,7.98,2.18
January,275.82,95.27,2.0,27.47,6.34,7.98,4.54
January,275.82,95.27,2.0,27.47,6.34,7.98,0.64
January,275.82,95.27,2.0,27.47,6.34,7.98,2.51
January,275.82,95.27,2.0,27.47,6.34,7.98,0.16
January,275.82,95.27,2.0,27.47,6.34,7.98,2.4
January,275.82,95.27,2.0,27.47,6.34,7.98,0.38
January,275.82,95.27,2.0,27.47,6.34,7.98,0.68
January,275.82,95.27,2.0,27.47,6.34,7.98,0.68
January,275.82,95.27,2.0,27.47,6.34,7.98,3.28
January,275.82,95.27,2.0,27.47,6.34,7.98,3.76
